,Restaurant_Name,Inspection_Score,vp_total
25513,MIS CAZUELAS RESTAURANT,80,20.0
25514,PRESSBOX,100,0.0
25515,TACON MADRE,85,15.0
25516,LA AZTECA MEAT MARKET MEAT,97,3.0
25517,BAYLOR HEALTH CARE SYSTEM CAFETERIA,92,8.0
25518,TARGET,97,3.0
25519,FRIENDLY DRIVE IN,88,12.0
25520,WINGSTOP,96,4.0
25521,TERRACE #5024 HOT POPPED AND TWISTED 317,95,5.0
25522,ED CAMPBELL CONCESSION- COTTON BOWL STAND #9-1527,100,0.0
25523,BROOK HOLLOW GOLF CLUB OAK ROOM BAR,99,1.0
25524,PEI WEI ASIAN DINER,84,16.0
25525,SALLY THE SALAD ROBOT 34TH FLR - VENDING MACHINE,99,1.0
25526,STEP-N-GO,87,13.0
25527,SAGE DINING URSULINE ACADEMY,91,9.0
25528,REGENERATION ARCADE BAR AND PIZZERIA,94,6.0
25529,PLANO CAFE,83,17.0
25530,AUNTE ANNE'S SOFT PRETZELS,94,6.0
25531,WINGSTOP RESTAURANT,91,9.0
25532,SISTERS CAFE,92,8.0
25533,GATEWAY #15,83,17.0
25534,FAMILY DOLLAR #6837,94,6.0
25535,SBARRO,80,20.0
25536,TRINITY DRIVE-IN GROCERY,97,3.0
25537,SIMPLY FONDUE,80,20.0
25538,LONG JOHN SILVER'S,96,4.0
25539,ROYAL TAQUERIA,92,8.0
25540,W-HOTEL EMPLOYEE CAFETERIA 2ND FLOOR,95,5.0
25541,ADMIRALS CONCRETE FOUNDATION CLUB,98,2.0
25542,AMERICAN LEGION POST 292,89,11.0
25543,QUIKTRIP #932,93,7.0
25544,KENNEMER MIDDLE SCHOOL,99,1.0
25545,CENTERPLATE TASTE OF EAST #9 KIOSK,100,0.0
25546,FUNK DA FRIED FISH & CHICKEN,94,6.0
25547,URBAN DONUT,95,5.0
25548,POTBELLY SANDWICH WORKS,93,7.0
25549,400 RECORD BRASSERIE,96,4.0
25550,SABOR A LA MEXICANA,85,15.0
25551,BOCATTI,93,7.0
25552,JC 7-11 ROMERO,95,5.0
25553,AL 100,97,3.0
25554,I-HOP,98,2.0
25555,DOMINO'S PIZZA #6971,93,7.0
25556,CIVELLO'S RAVIOLISMO,88,12.0
25557,SHURI AFRICAN,91,9.0
25558,ALL SAINTS ELEM SCHOOL,96,4.0
25559,SZECHUAN RESTAURANT,91,9.0
25560,CONNER ELEMENTARY SCHOOL,97,3.0
25561,SUBWAY SANDWICHES,97,3.0
25562,LAKEWEST REHABILITATION AND,89,11.0
25563,AIKIN ELEMENTARY,96,4.0
25564,PUNK SOCIETY,93,7.0
25565,HAPPY FISH DE DALLAS,91,9.0
25566,TACO BELL,91,9.0
25567,WENDY KRISPIN CATERER,90,10.0
25568,STARBUCKS COFFEE,97,3.0
25569,SUBWAY SANDWICH SHOP #2,93,7.0
25570,PARLOR ON COMMERCE,96,4.0
25571,MELIO'S CHAR BAR,86,14.0
25572,COMFORT INN & SUITES,96,4.0
25573,WALGREENS #04012,92,8.0
25574,TACODELI,92,8.0
25575,SUDIE L WILLIAMS TALENTED AND GIFTED ACADEMY,100,0.0
25576,MCDONALDS,95,5.0
25577,SHINCHON ORIENTAL MARKET,85,15.0
25578,THAI WOK IN & GO,85,15.0
25579,THE KESSLER (KITCHEN),93,7.0
25580,WHITE ROCK ELEMENTARY,92,8.0
25581,KING SPA DELI,72,28.0
25582,CENTRAL MARKET DELI/BAKERY/SALADS,89,11.0
25583,SHELL/KWIK MART/POPEYES,97,3.0
25584,FAITH FAMILY ACADEMY,98,2.0
25585,DESTA ETHIOPIAN RESTAURANT,81,19.0
25586,FRIENDLY 2 MART,83,17.0
25587,PANDA EXPRESS,94,6.0
25588,THE GREAT STOP & SHOP (FAST FOOD),86,14.0
25589,WATER GRILL,93,7.0
25590,WALGREENS #06197,100,0.0
25591,CIGARZ PIZZA,77,23.0
25592,DAIRYETTE,72,28.0
25593,BRUEGGAR'S BAGELS,97,3.0
25594,TWO CORKS & A BOTTLE,99,1.0
25595,7-11,91,9.0
25596,RUBY'S SNO-BALLS,91,9.0
25597,TOWER CLUB OF DALLAS,88,12.0
25598,RESTAURANTE Y PUPUSERIA LA UNICA,82,18.0
25599,DENNIS WATER & BEER WINE,98,2.0
25600,MIAKO TERIYAKI,94,6.0
25601,BUNGALOW/BAR,71,29.0
25602,JOHN'S CAFE,80,20.0
25603,POTBELLY SANDWICH WORKS,96,4.0
25604,TWO SISTERS TO GO,95,5.0
25605,GREAT OUTDOORS SUB SHOP,92,8.0
25606,SEAFOOD DADDY & STEAKS,83,17.0
25607,O T TAVERN - OUTSIDE BAR,93,7.0
25608,TACO CABANA #191,99,1.0
25609,MIGALITOS SUPERMERCADO (PRODUCE),95,5.0
25610,PACIFIC GIFT CONVENIENCE,97,3.0
25611,TOM THUMB #2990 - DELI,89,11.0
25612,WALMART #5889,99,1.0
25613,CHUCK'S PIZZA,98,2.0
25614,JACK IN THE BOX,90,10.0
25615,NRGIZE AT TAC,86,14.0
25616,PLAZA #1065 EISENBERG #101,97,3.0
25617,SOUTH BUCKNER FOOD MART,97,3.0
25618,HEIGHT PREPARATORY SCHOOL KITCHEN,82,18.0
25619,TACO CABANA #136,92,8.0
25620,WAL-MART #5931 MEAT &FISH,97,3.0
25621,PANDA EXPRESS #1819,98,2.0
25622,COLUMBIA KWIK STOP,99,1.0
25623,ALDI TEXAS LLC #30,99,1.0
25624,PHO DK,89,11.0
25625,DOS GENERALES TAQUERIA,80,20.0
25626,FIESTA #57 TAQUERIA,95,5.0
25627,WALGREENS #04817,96,4.0
25628,THE ROSE CAFE,89,11.0
25629,EL PAISANO,77,23.0
25630,MARISCOS LA REYNA #3,81,19.0
25631,ANA'S TAQUERIA,94,6.0
25632,THE HILLCREST OF NORTH DALLAS,97,3.0
25633,SONIC,88,12.0
25634,EL RANCHO #19 KITCHEN,80,20.0
25635,LA AZTECA MEAT MARKET MEAT,92,8.0
25636,LA MICHOACANA (BAKERY),86,14.0
25637,MCDONALD'S,84,16.0
25638,CAFE FINO,97,3.0
25639,HI MART CHICKEN (INSIDE HI MART FOOD AND BEV),75,25.0
25640,LIBERTINE,80,20.0
25641,TIENDA MI MEXICO,85,15.0
25642,CASA DON LUIS TEX-MEX,90,10.0
25643,SHEGER ETHIPOIAN GROCERY,88,12.0
25644,SONIC DRIVE IN,89,11.0
25645,7-ELEVEN CONVENIENCE STORE #37015 A,89,11.0
25646,WHOLE FOODS MARKET-GROCERY,97,3.0
25647,VALERO CORNER STORE # 2268,93,7.0
25648,DIVINOS PIZZARIA,80,20.0
25649,LAKEWOOD COUNTRY CLUB POOL BAR,92,8.0
25650,GOOD MORNING DONUT,80,20.0
25651,BURGER KING,94,6.0
25652,JACK IN THE BOX,70,30.0
25653,OK CORRAL - BAR 3,100,0.0
25654,NEW YORK BAKERY,93,7.0
25655,TAQUERIA PEDRITOS,87,13.0
25656,SUPER MERCADO MONTERREY GROCERY/GRILL,91,9.0
25657,BABY BACK SHAK,92,8.0
25658,GINGER THAI RESTAURANT,81,19.0
25659,POKE BOP,92,8.0
25660,LA MADELEINE,90,10.0
25661,IN-N-OUT BURGER,95,5.0
25662,COCKRELL CENTER,95,5.0
25663,BROTHER'S PIZZA,94,6.0
25664,GOOD FRIEND MARKET,88,12.0
25665,BROTHER'S PIZZA,92,8.0
25666,DUC CHUONG MIDNITE GARLAND,81,19.0
25667,7-ELEVEN #20769,93,7.0
25668,EL RANCHO (SEAFOOD)- PHASE1,92,8.0
25669,CULINARY KITCHEN & BEYOND,76,24.0
25670,JACK IN THE BOX,93,7.0
25671,JOY MART,97,3.0
25672,FOREST WEST #2,99,1.0
25673,HARRY STONE RECREATION CENTER,86,14.0
25674,SUBWAY SANDWICHES,87,13.0
25675,CAFE NOSTRA PIZZA,89,11.0
25676,LA CHIQUITIBUM ICE CREAM,80,20.0
25677,APP#49056 COAL VINE'S PIZZA,82,18.0
25678,HI FLAMEZ DELI,99,1.0
25679,D OFFICE,89,11.0
25680,E-BAR TEX MEX RESTAURANT,83,17.0
25681,CREAMERY,97,3.0
25682,SCHLOTZSKY'S,93,7.0
25683,SERVICE KING CLUB,99,1.0
25684,PIZZA HUT #034483/WING STREET,92,8.0
25685,CHICKEN SCRATCH,86,14.0
25686,EDGEMERE KITCHEN,88,12.0
25687,THE JUNGLE BURGER,88,12.0
25688,PEAK PREPARATORY-PRIMARY SCHOOL,86,14.0
25689,EL PAISA COCINA,83,17.0
25690,EZ STOP #10,70,30.0
25691,SOUTHPAWS ORGANIC CAFÉ,95,5.0
25692,LA MICHOACANA GROCERY,85,15.0
25693,HOMEMADE DONUTS,92,8.0
25694,SEAGOVILLE MIDDLE SCHOOL,97,3.0
25695,COLTER'S BAR B Q,80,20.0
25696,FUEL TOWN #2,93,7.0
25697,LITTLE CAESARS PIZZA,92,8.0
25698,THE PORCH,86,14.0
25699,NICK & SAM'S GRILL,81,19.0
25700,URSULINE ACADEMY CONCESSI,98,2.0
25701,WISHIRE BAPTIST CHURCH,84,16.0
25702,CVS PHARMACY,95,5.0
25703,THAI OPAL,95,5.0
25704,DOMINO'S PIZZA #6971,88,12.0
25705,CIBO DIVINO,78,22.0
25706,SALATA,97,3.0
25707,LOVERS PIZZA & PASTA,94,6.0
25708,CASA MAMA COMIDA CASERA,86,14.0
25709,ZAGUAN BAKERY & CAFE,91,9.0
25710,MURPHY'S DELI UPTOWN,94,6.0
25711,LA MICHOACANA (MEAT MARKET),94,6.0
25712,JUSMEX,86,14.0
25713,PAPPADEAUX SEAFOOD,94,6.0
25714,WATER WHEELS SNOW CONE,90,10.0
25715,SUBWAY SANDWICHES,86,14.0
25716,GUTHRIE'S CATERING,85,15.0
25717,DONUT PALACE,88,12.0
25718,TOM THUMB #2642 STARBUCKS,99,1.0
25719,LA UNICA RESTAURANTE Y PUPUSERIA,88,12.0
25720,TARGET/STARBUCKS,96,4.0
25721,SOUTH BUCKNER FOOD MART,92,8.0
25722,LIFE SCHOOL OF DALLAS 1FLR,100,0.0
25723,NICK & SAM'S GRILL,90,10.0
25724,TEN,80,20.0
25725,FIESTA MART #212 (DELI),98,2.0
25726,CANTINA LAREDO,85,15.0
25727,CHESTERFIELDS,88,12.0
25728,HAUTE SWEETS PATISSERIE LLC,87,13.0
25729,FEDERAL RESERVE BANK - CAFE,92,8.0
25730,LOS 3 MAS TAQUEROS,86,14.0
25731,WISHIRE BAPTIST CHURCH,91,9.0
25732,FAIRFIELD INN & SUITES,90,10.0
25733,THE PIE PLACE,95,5.0
25734,PAPA JOHNS PIZZA,90,10.0
25735,LA MADELEINE,80,20.0
25736,FLYING FISH,83,17.0
25737,WINGSTOP,91,9.0
25738,MCDONALDS,91,9.0
25739,SUBWAY,90,10.0
25740,PRESBYTERIAN HOSPITAL - HAMON TOWER,96,4.0
25741,ROSS & HALL BEER GARDEN AND KITCHEN,67,33.0
25742,HATCHER CONVENIENCE STORE,91,9.0
25743,SUSHI YAA 2,81,19.0
25744,SUBWAY,98,2.0
25745,CHICKEN EXPRESS,97,3.0
25746,CHURCH'S CHICKEN,94,6.0
25747,BUGATTI'S ON BACHMAN CREEK,82,18.0
25748,EL NORTENO,82,18.0
25749,CICI'S PIZZA #451,95,5.0
25750,AC HOTEL & RESIDENCE INN (2ND FLOOR),98,2.0
25751,BENDERS SPORTS & SPIRITS,95,5.0
25752,UNCLE UBER'S SAMMICH SHOP,94,6.0
25753,6866 SHADY BROOK LLC,80,20.0
25754,SHON'S SNACK CORNER,99,1.0
25755,ABRAMS FOOD & BEER WINE,91,9.0
25756,ADULT REHABILITATION MINISTRIES,88,12.0
25757,OISHII,82,18.0
25758,FLYING J,80,20.0
25759,PEAK PREPARATORY - SECONDARY SCHOOL,86,14.0
25760,KWICK MART,84,16.0
25761,THOMAS TOLBERT SCHOOL,85,15.0
25762,WORLD MARKET,97,3.0
25763,CVS,99,1.0
25764,THE PAPER PLATE,93,7.0
25765,HOOK LINE & SINKER,92,8.0
25766,H.E.B. - CENTRAL MARKET (BAKERY),97,3.0
25767,FIESTA MART #58 HOT DELI,86,14.0
25768,PALMIERI CAFE,96,4.0
25769,CORNER BAKERY #108,80,20.0
25770,ICE CREAM SHOP & JUICE,69,31.0
25771,WORLD TRADE CENTER CAFE,90,10.0
25772,LOUISIANA FRIED CHICKEN,95,5.0
25773,BOB'S EXXON,90,10.0
25774,F AND B FOODMART (CAPTAIN FRIED CHICKEN),87,13.0
25775,PAYLESS FOOD & BEER WINE,91,9.0
25776,BENT TREE CC LAKE,98,2.0
25777,YOGURT LAND,90,10.0
25778,EMPIRE DELI,81,19.0
25779,TACO BELL,95,5.0
25780,MCDONALD'S IN WALMART,98,2.0
25781,CICIS PIZZA,90,10.0
25782,CINCO TACO BAR,85,15.0
25783,THE RUSTIC,85,15.0
25784,D E C ON DRAGON,98,2.0
25785,ED CAMPBELL CONCESSION- COTTON BOWL STAND #8-1571,99,1.0
25786,J. PEPES TEX-MEX,89,11.0
25787,ACA LAS TORTAS,80,20.0
25788,NEW QUICK WAY MART NO.3,82,18.0
25789,WAI KITCHEN,91,9.0
25790,AMERICAN FOOD VENDING @ TI DMOS S6 (CALL 214-789-1656),96,4.0
25791,WILLIE'S,92,8.0
25792,SAM'S CLUB BAKERY,97,3.0
25793,TOM THUMB #3560 DELI,89,11.0
25794,MEAT,90,10.0
25795,ED CAMPBELL CONCESSION- COTTON BOWL STAND #18-1N71,97,3.0
25796,PRODUCE,98,2.0
25797,HAWAIIAN ICE CREAM,94,6.0
25798,P F CHANG'S CHINA BISTRO,87,13.0
25799,EL PAISA,96,4.0
25800,LAILI RESTAURANT,91,9.0
25801,ST CECILIA SCHOOL,92,8.0
25802,ARCADIA ELEMENTARY SCHOOL,98,2.0
25803,TOM THUMB #3560 GROCERY,90,10.0
25804,PHYSICIANS DINING AREA,99,1.0
25805,DANIEL WEBSTER ELEMENTARY,98,2.0
25806,PRESTONWOOD ELEMENTARY,96,4.0
25807,CHICK-FIL-A,96,4.0
25808,MANNY'S UPTOWN TEX MEX BAR,88,12.0
25809,"DALLAS MUSEUM FOOD ""KIOSK""",97,3.0
25810,FAMILY DOLLAR #7426,96,4.0
25811,SHIPLEY DONUT JKW,88,12.0
25812,SAVERS COST PLUS-GROCERY,97,3.0
25813,TACOS LA BANQUETA PURO D.F,70,30.0
25814,FIESTA #65 GROCERY,91,9.0
25815,PLATINUM MARKET / REMY BAR,99,1.0
25816,FCG LAKE HIGHLANDS LLC dba FISH CITY GRILL,80,20.0
25817,PERSONALIZED LEARNING PREPARATORY AT SAM HOUSTON,94,6.0
25818,GABE ALLEN SCH,91,9.0
25819,HAYNES AND BOONE CONFERENCE CATERING,97,3.0
25820,NORMA'S CAFE,90,10.0
25821,THE WOK CHINESE RESTAURANT,86,14.0
25822,20 FEET,84,16.0
25823,USA DONUTS & CROISSANTS,94,6.0
25824,RESTAURANT DEPOT,97,3.0
25825,SAM BEER GRILL GROCERY,95,5.0
25826,TORTACO (OUTSIDE BAR),98,2.0
25827,LOUISIANA FAMOUS FRIED CHICKEN,72,28.0
25828,WOLFGANG PUCK-CATERING KITCHEN L2,94,6.0
25829,WENDY'S #8604,90,10.0
25830,VIVA FOOD MARKET,92,8.0
25831,FLASH MART #2,92,8.0
25832,BOOKER T WASHINGTON SCHOOL OF VISUAL AND PERFORMING ARTS,95,5.0
25833,TROPHY ROOM,90,10.0
25834,DEL NORTE BAKERY,88,12.0
25835,MAPLE STREET CAFE,87,13.0
25836,LA MICHOACAUA MEAT MKT/GROCERY,91,9.0
25837,S K DONUTS,91,9.0
25838,TOM THUMB #3608 MEAT,97,3.0
25839,SANTA CRUZ BIOTECHNOLOGY BREAKROOM,100,0.0
25840,TACO BELL,95,5.0
25841,SAM'S CLUB #6372 MEAT/FISH,90,10.0
25842,ANTOJITOS LUPITA PUPUSERIA Y TAQUERIA,74,26.0
25843,THE WILD TURKEY,80,20.0
25844,14323 PACIUGO GELATO & CAFE,98,2.0
25845,CLEAN JUICE,95,5.0
25846,HERRERA'S CAFE,88,12.0
25847,WAL-MART SUPERCENTER #2427-BAKERY,97,3.0
25848,T.G.I. FRIDAYS #565,89,11.0
25849,SMART MART,88,12.0
25850,7-SEVEN BEVERAGE STORE,96,4.0
25851,P&S CORNER STORE,85,15.0
25852,HYATT REGENCY BANQUET KITCHEN,98,2.0
25853,CHIPOTLE MEXICAN GRILL,97,3.0
25854,7 ELEVEN,89,11.0
25855,AU BON PAIN - JACKSON CAFE,92,8.0
25856,EL RANCHO #19 BAKERY,86,14.0
25857,OZONA GRILL AND BAR,91,9.0
25858,BBBOP SEOUL KITCHEN,100,0.0
25859,LUNAS @ BROOK HOLLOW,81,19.0
25860,SONIC DRIVE IN,90,10.0
25861,WHOLE FOODS MARKET (SEAFOOD/MEAT),99,1.0
25862,ROSEMONT SCHOOL,96,4.0
25863,KFC,94,6.0
25864,TERRACE #5042 GRILL ZONE 326,95,5.0
25865,VERMONT GROCERY STORE,80,20.0
25866,THE BOILING CRAB,88,12.0
25867,AFC SUSHI # 3608,100,0.0
25868,CAPTAIN CHICKEN & FISH,80,20.0
25869,ENO'S PIZZA TAVERN,84,16.0
25870,JIMMIE TYLER BRASHEAR ELEMENTARY,97,3.0
25871,MANNY'S UPTOWN TEX MEX BAR,87,13.0
25872,ORAN M ROBERTS ELEMENTARY,93,7.0
25873,PHILLIPS MART,97,3.0
25874,DICKEY'S BARBEQUE PIT,91,9.0
25875,NEIGHBORHOOD GROCERY,80,20.0
25876,GOOD FRIEND MARKET,96,4.0
25877,7-ELEVEN CONVENIENCE STORE #38111A,91,9.0
25878,EL RANCHO #19 KITCHEN,80,20.0
25879,SMART & FINAL MART,97,3.0
25880,STEP IN DRIVE IN,95,5.0
25881,LOUISIANA FAMOUS FRIED CHICKEN,74,26.0
25882,PALETERIA Y NEVERIA LA MICHOACANA,84,16.0
25883,VERACRUZ CAFE,90,10.0
25884,DBU - THE PATRIOT CAFE,94,6.0
25885,LAKEHILL PREP SCHOOL CONCESSION,96,4.0
25886,MCDONALDS,98,2.0
25887,NESTLE TOLLHOUSE CAFE,100,5.0
25888,KIEST BLVD SHELL,86,14.0
25889,EL PAISANO,83,17.0
25890,T C MARSH JR HIGH,96,4.0
25891,EL PAISA COCINA,89,11.0
25892,SEE'S CANDY,98,2.0
25893,KROGER #518 MEAT/SEAFOOD,100,0.0
25894,SALTGRASS STEAKHOUSE,81,19.0
25895,TEXAS HORSE PARK,93,7.0
25896,CROSS ROAD COMMUNITY SERVICES,96,4.0
25897,COMFORT INN & SUITES,91,9.0
25898,THE GRAPEVINE BAR,93,7.0
25899,AFC SUSHI @ TOM THUMB #3570,98,2.0
25900,MATTS RANCHO,90,10.0
25901,PAPA JOHN'S PIZZA #1191,91,9.0
25902,TORTERIA POTOSINA,84,16.0
25903,ALDI FOOD STORE,99,1.0
25904,PLUM YOGA,99,1.0
25905,ALLIGATOR JACKS BEER & WINE,89,11.0
25906,CICI'S PIZZA,92,8.0
25907,CAFE 35,93,7.0
25908,SAVOR PATISSERIE,84,16.0
25909,THREE BIRDS,97,3.0
25910,REUNION BREWING COMPANY,96,4.0
25911,TERRACE #5062 FAST BREAK 307,97,3.0
25912,BIG SHUCKS,91,9.0
25913,CVS PHARMACY,99,1.0
25914,FUEL CITY,94,6.0
25915,LA CHIQUITIBUM ICE CREAM,86,14.0
25916,TEXAS MINI MART,93,7.0
25917,JAKES HAMBURGERS,95,5.0
25918,MIGALITOS SUPERMERCADO (MEAT),84,16.0
25919,TERRACE #5042 GRILL ZONE 326,99,1.0
25920,LA MICHOACANA GROCERY,94,6.0
25921,WAL-MART #3015 - GROCERY,89,11.0
25922,PIZZA HUT,88,12.0
25923,ANOTHER BROKEN EGG CAFE,84,16.0
25924,AVANTI RISTORANTI,94,6.0
25925,3 FORKS RESTAURANT,91,9.0
25926,THE GRAPEVINE BAR,99,1.0
25927,THE STAND,92,8.0
25928,COOL ZONE BEVERAGE,97,3.0
25929,WAL-MART #5823 - GROCERY,97,3.0
25930,BINGBOX,92,8.0
25931,JIMMY JOHNS GOURMET SANDWICHES,98,2.0
25932,HIHO GROCERY,80,20.0
25933,SONNY BRYAN'S SMOKEHOUSE,93,7.0
25934,TACOLICIOUS,93,7.0
25935,CHEF CED'S FOODIE SHACK,84,16.0
25936,HOOTER'S,87,13.0
25937,KIARA'S MEXICAN FOOD,95,5.0
25938,STARBUCKS COFFEE #695,98,2.0
25939,BONNIE VIEW SHELL,89,11.0
25940,PIZZA PATRON #0142,96,4.0
25941,FAMILY DOLLAR #31581,90,10.0
25942,BOSTON MARKET #0325,91,9.0
